iter	Passed	Remaining
162	3217	16522
163	3236	16498
164	3255	16475
165	3275	16457
166	3298	16450
167	3318	16432
168	3337	16411
169	3359	16404
170	3381	16395
171	3401	16374
172	3421	16358
173	3443	16345
174	3462	16325
175	3481	16298
176	3499	16273
177	3518	16250
178	3537	16225
179	3555	16198
180	3575	16179
181	3594	16157
182	3615	16143
183	3635	16123
184	3654	16101
185	3676	16089
186	3695	16068
187	3713	16040
188	3732	16015
189	3754	16008
190	3773	15982
191	3791	15955
192	3813	15945
193	3834	15929
194	3853	15909
195	3873	15888
196	3892	15865
197	3913	15853
198	3932	15828
199	3950	15802
200	3971	15788
201	3990	15763
202	4011	15748
203	4031	15730
204	4052	15717
205	4071	15692
206	4089	15666
207	4110	15650
208	4128	15624
209	4148	15604
210	4166	15580
211	4186	15561
212	4208	15548
213	4226	15523
214	4246	15506
215	4267	15490
216	4288	15474
217	4308	15456
218	4326	15430
219	4347	15414
220	4368	15396
221	4386	15371
222	4406	15355
223	4425	15330
224	4444	15309
225	4463	15287
226	4483	15268
227	4502	15246
228	4520	15220
229	4539	15197
230	4558	15176
231	4577	15152
232	4596	15132
233	4615	15109
234	4638	15098
235	4656	15075
236	4676	15054
237	4697	15040
238	4716	15018
239	4736	14998
240	4757	14983
241	4773	14953
242	4794	14936
243	4813	14914
244	4832	14892
245	4851	14869
246	4870	14847
247	4890	14829
248	4910	14810
249	4929	14787
250	4947	14764
251	4967	14744
252	4985	14720
253	5003	14694
254	5021	14670
255	5040	14648
256	5063	14639
257	5082	14616
258	5103	14599
259	5123	14582
260	5142	14560
261	5162	14540
262	5182	14523
263	5202	14504
264	5221	14482
265	5239	14457
266	5260	14440
267	5279	14419
268	5300	14403
269	5319	14382
270	5339	14362
271	5359	14345
272	5379	14324
273	5400	14309
274	5419	14288
275	5442	14275
276	5462	14256
277	5484	14242
278	5504	14224
279	5524	14206
280	5543	14185
281	5563	14164
282	5582	14143
283	5603	14127
284	5625	14112
285	5645	14094
286	5663	14069
287	5684	14053
288	5701	14028
289	5722	14010
290	5741	13988
291	5759	13964
292	5778	13943
293	5797	13922
294	5807	13878
295	5824	13853
296	5844	13833
297	5862	13810
298	5884	13797
299	5903	13775
300	5923	13756
301	5944	13738
302	5962	13716
303	5981	13695
304	6002	13677
305	6022	13658
306	6043	13642
307	6061	13618
308	6080	13597
309	6100	13577
310	6119	13557
311	6138	13535
312	6160	13521
313	6180	13501
314	6199	13480
315	6219	13462
316	6237	13438
317	6255	13415
318	6274	13395
319	6296	13380
320	6316	13361
321	6336	13341
322	6354	13318
323	6374	13299
324	6391	13275
325	6411	13256
326	6430	13235
327	6451	13217
328	6472	13201
329	6493	13183
330	6512	13163
331	6531	13141
332	6551	13123
333	6572	13105
334	6591	13084
335	6610	13063
336	6628	13041
337	6652	13028
338	6671	13008
339	6692	12991
340	6695	12938
341	6714	12917
342	6733	12898
343	6753	12879
344	6775	12863
345	6795	12845
346	6813	12822
347	6832	12801
348	6851	12780
349	6872	12762
350	6894	12747
351	6912	12725
352	6932	12706
353	6953	12688
354	6973	12670
355	6994	12652
356	7014	12634
357	7034	12615
358	7056	12600
359	7077	12581
360	7094	12557
361	7115	12540
362	7135	12521
363	7155	12501
364	7176	12484
365	7195	12463
366	7213	12442
367	7232	12420
368	7251	12400
369	7271	12381
370	7289	12358
371	7309	12340
372	7329	12320
373	7349	12300
374	7369	12282
375	7374	12238
376	7395	12221
377	7416	12203
378	7437	12187
379	7457	12167
380	7478	12150
381	7497	12129
382	7517	12110
383	7537	12091
384	7559	12075
385	7579	12056
386	7600	12039
387	7620	12019
388	7639	11998
389	7660	11981
390	7679	11961
391	7699	11941
392	7717	11920
393	7736	11899
394	7755	11878
395	7775	11860
396	7793	11837
397	7812	11816
398	7833	11799
399	7853	11779
400	7873	11761
401	7893	11742
402	7913	11722
403	7933	11703
404	7950	11680
405	7970	11660
406	7989	11640
407	8008	11619
408	8027	11598
409	8048	11582
410	8067	11561
411	8086	11541
412	8106	11522
413	8127	11504
414	8147	11484
415	8166	11465
416	8188	11447
417	8208	11428
418	8229	11411
419	8248	11391
420	8268	11372
421	8289	11353
422	8308	11333
423	8330	11317
424	8351	11299
425	8372	11281
426	8393	11263
427	8414	11245
428	8433	11225
429	8455	11208
430	8475	11189
431	8492	11166
432	8512	11146
433	8533	11128
434	8552	11108
435	8573	11090
436	8594	11072
437	8612	11051
438	8633	11032
439	8653	11013
440	8658	10974
441	8680	10958
442	8700	10940
443	8721	10922
444	8740	10900
445	8759	10880
446	8781	10864
447	8800	10843
448	8819	10823
449	8838	10802
450	8860	10785
451	8880	10766
452	8899	10746
453	8920	10728
454	8940	10708
455	8963	10692
456	8983	10673
457	9002	10653
458	9025	10637
459	9045	10618
460	9063	10597
461	9084	10578
462	9102	10557
463	9121	10536
464	9142	10518
465	9162	10499
466	9184	10482
467	9203	10461
468	9222	10442
469	9242	10422
470	9262	10403
471	9282	10384
472	9302	10364
473	9323	10346
474	9345	10328
475	9365	10309
476	9386	10291
477	9406	10272
478	9426	10252
479	9444	10231
480	9463	10211
481	9483	10191
482	9503	10172
483	9524	10154
484	9545	10136
485	9563	10114
486	9584	10095
487	9601	10073
488	9619	10052
489	9638	10031
490	9657	10011
491	9675	9989
492	9697	9972
493	9716	9952
494	9735	9932
495	9754	9911
496	9775	9893
497	9798	9877
498	9818	9857
499	9837	9837
500	9857	9818
501	9877	9798
502	9896	9778
503	9916	9759
504	9937	9741
505	9956	9720
506	9976	9700
507	9996	9681
508	10015	9661
509	10036	9642
510	10057	9624
511	10078	9606
512	10097	9585
513	10118	9566
514	10137	9547
515	10158	9528
516	10180	9511
517	10201	9492
518	10221	9472
519	10240	9452
520	10261	9434
521	10280	9414
522	10301	9395
523	10324	9378
524	10344	9359
525	10364	9339
526	10386	9322
527	10391	9289
528	10412	9271
529	10433	9252
530	10454	9233
531	10474	9214
532	10495	9195
533	10513	9174
534	10532	9154
535	10552	9134
536	10570	9114
537	10591	9095
538	10609	9074
539	10630	9055
540	10651	9037
541	10669	9016
542	10688	8995
543	10709	8976
544	10729	8957
545	10749	8938
546	10769	8919
547	10788	8898
548	10805	8876
549	10825	8856
550	10845	8838
551	10866	8819
552	10885	8799
553	10907	8780
554	10927	8761
555	10946	8741
556	10967	8722
557	10985	8701
558	11003	8680
559	11023	8661
560	11043	8641
561	11064	8623
562	11085	8604
563	11106	8586
564	11124	8565
565	11145	8545
566	11165	8526
567	11185	8507
568	11203	8486
569	11222	8466
570	11241	8445
571	11261	8426
572	11282	8407
573	11301	8387
574	11321	8368
575	11341	8348
576	11359	8327
577	11378	8307
578	11402	8290
579	11420	8269
580	11443	8252
581	11462	8232
582	11484	8214
583	11504	8194
584	11522	8174
585	11541	8153
586	11561	8134
587	11581	8114
588	11602	8095
589	11621	8076
590	11643	8058
591	11664	8039
592	11684	8019
593	11704	8000
594	11724	7980
595	11744	7961
596	11765	7941
597	11784	7922
598	11804	7902
599	11825	7883
600	11845	7863
601	11863	7843
602	11883	7823
603	11901	7802
604	11924	7785
605	11947	7768
606	11968	7748
607	11990	7730
608	12011	7711
609	12030	7691
610	12049	7671
611	12070	7652
612	12090	7632
613	12109	7612
614	12128	7592
615	12149	7573
616	12169	7554
617	12190	7534
618	12209	7514
619	12227	7494
620	12249	7475
621	12269	7456
622	12290	7437
623	12311	7418
624	12330	7398
625	12350	7378
626	12370	7359
627	12391	7339
628	12410	7320
629	12431	7301
630	12451	7281
631	12471	7261
632	12491	7242
633	12513	7224
634	12532	7203
635	12551	7183
636	12570	7163
637	12590	7143
638	12609	7123
639	12628	7103
640	12650	7085
641	12671	7065
642	12692	7047
643	12713	7027
644	12731	7007
645	12750	6987
646	12771	6968
647	12792	6948
648	12811	6928
649	12830	6908
650	12849	6888
651	12870	6869
652	12890	6850
653	12909	6830
654	12932	6811
655	12952	6792
656	12973	6773
657	12991	6752
658	13010	6732
659	13030	6712
660	13047	6691
661	13066	6671
662	13088	6652
663	13108	6633
664	13127	6612
665	13147	6593
666	13166	6573
667	13187	6554
668	13206	6534
669	13226	6514
670	13245	6494
671	13265	6474
672	13284	6454
673	13303	6434
674	13324	6415
675	13346	6396
676	13365	6376
677	13389	6358
678	13408	6338
679	13428	6319
680	13449	6300
681	13469	6280
682	13487	6260
683	13511	6242
684	13528	6221
685	13546	6200
686	13565	6180
687	13585	6160
688	13604	6140
689	13624	6121
690	13642	6100
691	13661	6080
692	13682	6061
693	13703	6042
694	13723	6022
695	13741	6002
696	13762	5982
697	13783	5963
698	13803	5944
699	13823	5924
700	13844	5905
701	13863	5885
702	13882	5864
703	13904	5846
704	13929	5828
705	13947	5808
706	13967	5788
707	13987	5769
708	14005	5748
709	14027	5729
710	14048	5710
711	14067	5690
712	14086	5670
713	14108	5651
714	14130	5632
715	14150	5612
716	14170	5593
717	14191	5573
718	14209	5553
719	14232	5534
720	14253	5515
721	14276	5497
722	14294	5476
723	14316	5457
724	14335	5437
725	14356	5418
726	14376	5398
727	14395	5378
728	14414	5358
729	14435	5339
730	14456	5319
731	14475	5299
732	14494	5279
733	14515	5260
734	14532	5239
735	14553	5220
736	14572	5200
737	14595	5181
738	14614	5161
739	14634	5142
740	14654	5122
741	14674	5102
742	14693	5082
743	14713	5062
744	14733	5042
745	14753	5023
746	14771	5003
747	14792	4983
748	14812	4963
749	14832	4944
750	14853	4924
751	14873	4905
752	14895	4886
753	14914	4865
754	14932	4845
755	14952	4826
756	14974	4806
757	14994	4787
758	15012	4766
759	15030	4746
760	15053	4727
761	15076	4708
762	15099	4690
763	15119	4670
764	15140	4651
765	15160	4631
766	15180	4611
767	15200	4591
768	15219	4571
769	15238	4551
770	15258	4531
771	15279	4512
772	15297	4492
773	15314	4471
774	15333	4451
775	15354	4432
776	15375	4412
777	15394	4392
778	15415	4373
779	15436	4353
780	15457	4334
781	15481	4315
782	15499	4295
783	15519	4275
784	15536	4255
785	15559	4236
786	15581	4217
787	15603	4197
788	15624	4178
789	15644	4158
790	15667	4139
791	15688	4120
792	15710	4100
793	15731	4081
794	15752	4061
795	15773	4042
796	15790	4021
797	15810	4002
798	15832	3982
799	15851	3962
800	15871	3943
801	15892	3923
802	15913	3904
803	15932	3884
804	15951	3864
805	15971	3844
806	15992	3824
807	16013	3805
808	16033	3785
809	16052	3765
810	16072	3745
811	16075	3721
812	16095	3702
813	16116	3682
814	16136	3662
815	16159	3643
816	16179	3624
817	16199	3604
818	16220	3584
819	16239	3564
820	16260	3545
821	16279	3525
822	16299	3505
823	16320	3485
824	16340	3466
825	16349	3444
826	16369	3424
827	16389	3404
828	16412	3385
829	16432	3365
830	16451	3345
831	16470	3325
832	16491	3306
833	16511	3286
834	16530	3266
835	16550	3246
836	16561	3225
837	16582	3205
838	16605	3186
839	16625	3166
840	16645	3146
841	16665	3127
842	16686	3107
843	16705	3087
844	16725	3068
845	16745	3048
846	16765	3028
847	16785	3008
848	16808	2989
849	16831	2970
850	16853	2950
851	16873	2931
852	16892	2911
853	16913	2891
854	16933	2871
855	16951	2851
856	16969	2831
857	16989	2811
858	17008	2791
859	17029	2772
860	17051	2752
861	17072	2733
862	17092	2713
863	17114	2693
864	17133	2674
865	17153	2654
866	17174	2634
867	17191	2614
868	17211	2594
869	17230	2574
870	17250	2554
871	17271	2535
872	17289	2515
873	17310	2495
874	17329	2475
875	17348	2455
876	17370	2436
877	17372	2413
878	17391	2394
879	17410	2374
880	17432	2354
881	17453	2335
882	17472	2315
883	17492	2295
884	17512	2275
885	17531	2255
886	17552	2236
887	17572	2216
888	17592	2196
889	17611	2176
890	17632	2157
891	17652	2137
892	17672	2117
893	17692	2097
894	17712	2077
895	17735	2058
896	17755	2038
897	17775	2018
898	17794	1999
899	17816	1979
900	17836	1959
901	17858	1940
902	17878	1920
903	17898	1900
904	17923	1881
905	17942	1861
906	17962	1841
907	17980	1821
908	18002	1802
909	18020	1782
910	18039	1762
911	18059	1742
912	18077	1722
913	18097	1702
914	18118	1683
915	18139	1663
916	18159	1643
917	18180	1623
918	18200	1604
919	18218	1584
920	18238	1564
921	18260	1544
922	18281	1525
923	18300	1505
924	18321	1485
925	18342	1465
926	18366	1446
927	18388	1426
928	18410	1407
929	18430	1387
930	18452	1367
931	18472	1347
932	18494	1328
933	18514	1308
934	18534	1288
935	18552	1268
936	18573	1248
937	18591	1228
938	18613	1209
939	18632	1189
940	18654	1169
941	18675	1149
942	18696	1130
943	18717	1110
944	18736	1090
945	18758	1070
946	18777	1050
947	18781	1030
948	18802	1010
949	18820	990
950	18840	970
951	18862	951
952	18883	931
953	18903	911
954	18924	891
955	18947	872
956	18966	852
957	18987	832
958	19007	812
959	19027	792
960	19050	773
961	19070	753
962	19089	733
963	19110	713
964	19129	693
965	19148	673
966	19167	654
967	19187	634
968	19207	614
969	19229	594
970	19246	574
971	19267	555
972	19287	535
973	19308	515
974	19327	495
975	19347	475
976	19367	455
977	19389	436
978	19409	416
979	19431	396
980	19449	376
981	19469	356
982	19489	337
983	19512	317
984	19529	297
985	19534	277
986	19555	257
987	19576	237
988	19596	217
989	19615	198
990	19636	178
991	19656	158
992	19674	138
993	19696	118
994	19719	99
995	19738	79
996	19758	59
997	19777	39
998	19797	19
999	19816	0
